SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
2026-01-01,1,25107,A,29668,23625,4146,6417,0,22267,0,455,2945,-1143,-610,989,-361,-527,209,677,-352,1021,-513
2026-01-01,2,25881,A,30361,24341,4188,6417,0,22267,0,455,2909,-1132,-606,1005,-361,-453,243,648,-359,994,-514
2026-01-01,3,25355,A,30681,23805,4085,6417,0,22267,0,546,3061,-1433,-594,844,-361,-524,343,667,-754,994,-514
2026-01-01,4,24762,A,30225,23226,4092,6417,0,22267,0,629,2980,-1469,-589,837,-361,-531,346,650,-770,990,-514
2026-01-01,5,24111,A,29092,22653,4044,6417,0,22267,0,834,3089,-1236,-431,949,-361,-531,146,413,-475,990,-513
2026-01-01,6,23637,A,28521,22147,4149,6417,0,22267,0,787,3323,-1208,-423,953,-361,-531,139,359,-460,990,-514
2026-01-01,7,22745,A,27909,21334,4142,6417,0,22267,0,1002,3649,-1030,-530,726,-361,-531,82,56,-596,990,-514
2026-01-01,8,22061,A,27224,20657,4093,6417,0,22267,0,997,3778,-1007,-540,716,-361,-531,80,7,-613,990,-514
2026-01-01,9,21715,A,27508,20229,4100,6417,0,22267,0,983,4063,-1174,-617,655,-361,-531,167,-126,-887,970,-514
2026-01-01,10,21429,A,27288,19981,4219,6417,0,22267,0,988,4103,-1195,-624,652,-361,-531,164,-143,-903,968,-514
2026-01-01,11,21099,A,27198,19657,4192,6417,0,22267,0,984,4180,-1032,-687,738,-361,-531,-387,-148,-855,985,-514
2026-01-01,12,21047,A,27136,19640,4210,6417,0,22267,0,966,4338,-1011,-683,741,-361,-531,-412,-162,-849,986,-514
2026-01-01,13,21525,A,27110,20093,4224,6417,0,22267,0,967,4176,-1047,-397,786,-361,-531,-45,-337,-786,976,-514
2026-01-01,14,21786,A,27310,20377,4199,6417,0,22267,0,941,4349,-1050,-378,787,-361,-531,-20,-350,-780,975,-513
2026-01-01,15,22674,A,27214,21229,4064,6417,0,22267,0,686,4344,-484,-406,799,-421,-531,641,-241,-658,985,-513
2026-01-01,16,22862,A,27553,21399,3997,6417,0,22267,0,928,4378,-415,-397,799,-452,-531,676,-221,-633,986,-514
2026-01-01,17,24036,A,27423,22496,3864,6417,2,22267,0,951,4390,-125,-30,665,-452,-531,833,-150,-35,986,-513
2026-01-01,18,24747,A,28009,23154,3873,6417,234,22267,0,947,4242,-85,1,660,-452,-531,838,-133,14,986,-514
2026-01-01,19,25425,A,28493,23709,3748,6417,933,22267,0,952,4078,597,210,599,-452,-531,726,-19,132,989,-514
2026-01-01,20,25987,A,29028,24198,3760,6417,1749,22267,0,940,4142,706,232,596,-452,-531,722,-5,148,990,-513
2026-01-01,21,26752,A,29799,24864,3725,6417,2380,22267,0,947,4259,970,532,405,-452,-531,739,-4,489,990,-513
2026-01-01,22,26959,A,29994,25003,3770,6417,2995,22267,0,927,4323,1002,556,384,-452,-531,741,-12,510,990,-513
2026-01-01,23,27178,A,30214,25172,3775,6417,3342,22267,0,832,4486,1003,687,3,-452,-531,1005,-107,515,991,-514
2026-01-01,24,27697,A,30767,25570,3926,6417,3389,22267,0,869,4482,1003,703,1,-452,-531,1014,-105,525,994,-513
2026-01-01,25,28878,A,31595,26716,3934,6417,3183,22267,0,620,4562,1416,970,306,-452,-531,1016,65,863,992,-514
2026-01-01,26,29308,A,32123,27142,4044,6417,2712,22267,0,718,4521,1466,988,342,-452,-531,1016,84,883,991,-514
2026-01-01,27,29551,A,32281,27378,3976,6417,2338,22267,0,634,4433,1496,982,834,-452,-531,1016,54,806,991,-513
2026-01-01,28,29977,A,32498,27726,4073,6417,1893,22267,0,424,4369,1499,983,852,-452,-531,1016,79,802,992,-514
2026-01-01,29,30357,A,32488,28131,4034,6417,1435,22267,0,34,4256,1482,992,317,-452,-531,981,451,834,992,-514
2026-01-01,30,30466,A,32586,28309,4049,6417,1032,22267,0,23,4216,1480,992,298,-452,-531,980,527,836,991,-514
2026-01-01,31,31184,A,33295,28959,4004,6417,531,22267,0,14,3752,1502,992,920,-452,-531,996,901,803,991,-514
2026-01-01,32,32188,A,34292,29797,4070,6417,108,22267,0,8,3366,1504,992,953,-452,-531,997,977,806,991,-513
2026-01-01,33,33178,A,35279,30580,4014,6417,0,22267,0,5,3159,1504,992,701,-452,-531,986,1350,986,991,-513
2026-01-01,34,34312,A,36409,31643,4016,6417,0,22267,0,1,3363,1504,992,692,-452,-531,985,1397,998,990,-513
2026-01-01,35,35082,A,37181,32333,4014,6417,0,22267,0,3,3128,1504,992,1009,-452,-531,996,1397,997,991,-513
2026-01-01,36,34820,A,36920,32231,4033,6417,0,22267,0,3,3237,1504,992,1021,-452,-531,997,1397,998,991,-514
2026-01-01,37,34342,A,36442,31848,3927,6417,0,22267,0,3,3385,1504,992,1051,-452,-531,997,1397,998,991,-514
2026-01-01,38,33772,A,35873,31268,3925,6417,0,22267,0,4,3416,1504,991,1052,-452,-531,997,1397,996,991,-514
2026-01-01,39,33088,A,35200,30593,3866,6417,0,22267,0,4,3529,1427,960,1051,-452,-531,988,1397,916,991,-525
2026-01-01,40,32298,A,34402,29801,3838,6417,0,22267,0,7,3604,1417,951,1051,-452,-531,988,1397,907,991,-514
2026-01-01,41,31002,A,33107,28581,3703,6417,0,22267,0,8,3374,1272,722,1048,-452,-531,996,1397,777,991,-514
2026-01-01,42,30312,A,32419,27842,3711,6417,0,22267,0,11,3099,1253,699,1048,-452,-531,996,1378,762,991,-513
2026-01-01,43,29074,A,31181,26677,3610,6417,0,22267,0,10,3665,853,462,807,-452,-531,687,1141,518,991,-514
2026-01-01,44,28250,A,30351,25900,3591,6417,0,22267,0,4,3721,803,444,797,-452,-531,668,1083,498,991,-514
2026-01-01,45,26740,A,28849,24560,3439,6417,0,22267,0,12,3892,641,397,730,-452,-531,102,710,345,991,-514
2026-01-01,46,25441,A,27804,23426,3457,6417,0,22267,0,266,4132,620,390,729,-452,-531,74,635,334,991,-514
2026-01-01,47,24509,A,27429,22504,3482,6417,0,22267,0,823,4206,823,271,793,-452,-531,214,262,291,991,-514
2026-01-01,48,23967,A,27298,22031,3617,6417,0,22268,0,1235,4329,851,276,795,-452,-531,219,186,298,986,-513
2026-01-02,1,24638,A,27929,22657,3595,6417,0,22268,0,1025,4132,1379,709,790,-429,-531,182,-192,665,814,-514
